GEOID20,District
131819701001078,10
131819701001079,10
131819701001080,10
131819701001081,10
131819701001082,10
131819701001083,10
131819701001084,10
131819701001085,10
131819701001086,10
131819701001087,10
131819701001088,10
131819701003000,10
131819701003001,10
131819701003002,10
131819701003003,10
131819701003004,10
131819701003005,10
131819701003006,10
131819701003007,10
131819701003008,10
131819701003009,10
131819701003010,10
131819701003011,10
131819701003012,10
131819701003020,10
131819701003021,10
131819701003024,10
131819701003042,10
131819701001041,10
131819701001048,10
131819701001049,10
131819701001050,10
131819701001051,10
131819701001052,10
131819701001060,10
131819701001062,10
131819701001063,10
131819701003013,10
131819701003014,10
131819701003015,10
131819701003016,10
131819701003017,10
131819701003018,10
131819701003019,10
131819701003022,10
131819701003023,10
131819701003025,10
131819701003026,10
131819701003027,10
131819701003028,10
131819701003029,10
131819701003030,10
131819701003031,10
131819701003032,10
131819701003033,10
131819701003034,10
131819701003035,10
131819701003036,10
131819701003037,10
131819701003038,10
131819701003039,10
131819701003040,10
131819701003041,10
131819701003043,10
131819701003044,10
131819701003045,10
131819701003046,10
131819701003047,10
131819701003048,10
131819701003049,10
131819701004007,10
131819701004008,10
131819701004009,10
131819701004010,10
131819701004011,10
131819701004012,10
131819701004013,10
131819701004014,10
131819701004015,10
131819701004016,10
131819701004017,10
131819701004018,10
131819701004019,10
131819701004020,10
131819701004021,10
131819701004022,10
131819701004025,10
131819701004026,10
131819701004027,10
131819701004028,10
131819701004029,10
131819701004030,10
131819701004031,10
131819701004032,10
131819701004033,10
131819701004034,10
131819701004035,10
131819701004036,10
131819701004037,10
131819702001047,10
131819702001048,10
131819702001049,10
131819702003027,10
131819702003029,10
131819702003030,10
131819702003031,10
131819702003033,10
131819702003034,10
131819702003035,10
131819702003036,10
131819702003038,10
131819702003039,10
131819702003049,10
131819702003050,10
131819702003051,10
131819702003052,10
131819702003053,10
131819702003055,10
131819702003056,10
131819702003057,10
131819702003058,10
131819702003059,10
131819702003060,10
131819702003061,10
131819702003062,10
131819702003063,10
131819702003071,10
131819702001040,10
131819702001041,10
131819702001042,10
131819702001043,10
131819702001044,10
131819702001045,10
131819702001046,10
131819702001050,10
131819702001051,10
131819702001052,10
131819702001053,10
131819702003032,10
131819702003037,10
131819702003040,10
131819702003041,10
131819702003042,10
131819702003064,10
131819702003065,10
131819702003066,10
131819702003067,10
131819702003068,10
131819702003069,10
131819702003070,10
132419701011000,9
132419701011001,9
132419701011002,9
132419701011003,9
132419701011004,9
132419701011005,9
132419701011006,9
132419701011007,9
132419701011008,9
132419701011009,9
132419701011010,9
132419701011011,9
132419701011012,9
132419701011013,9
132419701011014,9
132419701011015,9
132419701011016,9
132419701011017,9
132419701011018,9
132419701011019,9
132419701011020,9
132419701011021,9
132419701011022,9
132419701011023,9
132419701011024,9
132419701011025,9
132419701011026,9
132419701011027,9
132419701011028,9
132419701011029,9
132419701011030,9
132419701011031,9
132419701011032,9
132419701011033,9
132419701011034,9
132419701011035,9
132419701011036,9
132419701011037,9
132419701011038,9
132419701011039,9
132419701011040,9
132419701011041,9
132419701011042,9
132419701011043,9
132419701011044,9
132419701011045,9
132419701011046,9
132419701011047,9
132419701011048,9
132419701011049,9
132419701011050,9
132419701011051,9
132419701011052,9
132419701011053,9
132419701011054,9
132419701012000,9
132419701012001,9
132419701012002,9
132419701012003,9
132419701012004,9
132419701012005,9
132419701012006,9
132419701012007,9
132419701012008,9
132419701012009,9
132419701012010,9
132419701012011,9
132419701012012,9
132419701012013,9
132419701012014,9
132419701012015,9
132419701012016,9
132419701012017,9
132419701012018,9
132419701012019,9
132419701012020,9
132419701012021,9
